pathway	sample-53	sample-52	sample-54	sample-70	sample-55
PWY-5863	622.2391280947472	82.39049327465972	35.011100976692795	2.665443954784027	233.0147364289869
PWY-5896	1056.7440687645108	162.52732341741074	55.02066712041641	0.0	0.0
PWY-5897	1158.4830356190441	206.35669434710863	88.985251641097	6.988771566299953	533.4445670910139
PWY-5898	1158.4830356190441	206.35669434710863	88.985251641097	6.988771566299953	533.4445670910139
PWY-5899	1158.4830356190441	206.35669434710863	88.985251641097	6.988771566299953	533.4445670910139
PWY-5910	30.488112767759972	30.785714729830524	31.78853076484032	4.585969661916046	35.655094064801446
PWY-5913	3920.4099511743157	2031.1651352205695	3642.2298126006144	3408.2135579857527	4198.537771893526
PWY-5918	867.532472152073	891.9818760334729	804.7831644993277	261.51434938924564	164.8266391551135
PWY-5920	534.7794798136399	491.78075428869914	22.66751140252135	0.0	0.0
PWY-5971	1700.3046670664169	2056.85514051805	1856.3601149508693	531.556931492283	1165.5544498818463
PWY-5973	7019.88722262217	6672.531758991759	6159.693221723691	9492.546269109169	7437.213510491147
PWY-5989	2954.3517662008194	2810.647647916147	3202.6274687785344	891.9172710816001	1362.0141555434593
PWY-6071	0.0	0.23995051590674477	0.23953875969305607	0.0	0.0
PWY-6121	6115.390097668107	5959.56356381291	5450.66806760321	8652.489872421726	6884.327227220401
PWY-6122	6163.428071621928	6003.066319817045	5579.970647929463	8371.93531177345	6811.821881998332
PWY-6123	6189.892688765009	6010.041949719896	5523.767445886171	8388.098632612127	6520.892311726598
PWY-6125	4952.941533614365	3837.4529145618635	3960.6769399754967	5681.925880739577	4183.375617622897
PWY-6126	6529.237971448289	5704.490409890602	5546.51253806655	8254.948665979702	6534.22826116576
PWY-6147	5452.496681053144	3920.7324739301657	4257.853792293993	5242.715977354504	4228.463654080225
PWY-6151	3482.66926575342	3572.4384855274484	3252.1800621763678	7347.078955706545	4273.542906902551
PWY-6163	5829.3756549433665	5733.631738974015	5270.914143651521	7886.964504800798	6555.999940204451
PWY-6182	0.0	0.12923076923076923	0.12923076923076923	0.0	0.0
PWY-6185	0.0	0.13333333333333333	0.13333333333333333	0.0	0.0
PWY-621	5938.4108012420775	2962.410696293073	4894.847483958732	4593.00495995054	4044.8421386424725
PWY-6263	1892.0555152759873	327.1993850422959	1636.8033232280497	240.41723440520516	1535.2148620856497
PWY-6269	5114.910093017682	4049.043988856055	4532.032739678111	4438.964998917983	4304.96754335161
PWY-6277	6163.428071621928	6003.066319817045	5579.970647929463	8371.93531177345	6811.821881998332
PWY-6282	2902.629941038528	2779.610448357058	3166.985219594423	886.9133632727403	1351.3865776594143
PWY-6317	5370.581099731425	3956.2892040966353	4812.238389732468	7357.172949141284	5799.621279296614
PWY-6353	1549.2944128293507	1612.087251716676	741.9795599129766	975.6750490713445	1667.2119815585866
PWY-6385	5984.887846021149	5472.248197805026	5311.144660543971	7789.211739777795	6400.757735471809
PWY-6386	6096.5825991563615	5567.7338029368375	5393.400895988363	7936.233869079734	6504.034449419501
PWY-6387	6128.680774888042	5779.06635730994	5435.55809511406	7895.917547164111	6462.917265417181
PWY-6396	32.30817643966356	25.182591752719667	53.29200821258443	24.841019055249472	99.73666015581983
PWY-6467	2409.3000000000006	2736.36	1709.3800000000003	3482.09	2217.89
PWY-6470	105.32105717581241	127.9754083158058	120.96248063896705	22.917123015225563	132.35086130169495
PWY-6471	754.7929889482051	1288.4313097561942	2112.3648519793805	3913.010159772081	2734.682995653724
PWY-6478	547.3866231691883	965.9050457416549	1236.607260582481	402.8797296567701	395.6691421937465
PWY-6507	4442.749820297095	3186.8507193666946	3656.7639319931973	4333.424067728274	2224.0124707703994
PWY-6519	3546.4426228313005	2737.808536006461	2992.8617454974974	1450.218018973836	1741.59613443459
PWY-6545	3096.4500334198256	2456.2972642952923	2887.6877384740114	3769.5707291395124	2850.8911950527813
PWY-6562	0.0	0.28714303443139305	0.23999297133174274	0.0	0.0
PWY-6572	106.49835131071453	177.54034532984173	28.15940452266436	331.17814939205067	1216.3714572190818
PWY-6588	3301.249028815775	1127.4423957333647	1960.3292588888007	653.6847221825545	1125.6426434734128
PWY-6590	1480.9935576034618	716.3809426845523	51.08287726837649	285.5963225429643	181.36992794697844
PWY-6608	1155.5422191068908	1406.5826012481177	549.4713676650065	769.1815034185802	1191.5739053674222
PWY-6609	5390.099992578987	5388.317822732903	4795.705422272974	7497.070706127616	6243.672202951807
PWY-6612	4689.970536201228	4155.038230965695	3618.0551733211632	5427.637492394877	4331.056263623082
PWY-6628	5391.1297795956825	2547.6897322153486	4687.088466833291	1746.590968914623	1397.1583313416907
PWY-6629	2746.9983575445763	0.0	1834.0578580525084	1408.519962570481	0.0
PWY-6630	4873.532792350783	2469.0195174195173	4398.10763502001	1741.3772018625057	1394.0737460051428
PWY-6700	4614.673710302652	3911.376827416933	3850.8621105950024	5100.055235912634	2913.404921538633
PWY-6703	5124.381635412144	3480.946981863231	3985.4559033592404	4303.716892973698	3240.185099169903
PWY-6708	569.8993835013504	0.2999236343243792	14.402481099179896	0.0	105.20797831405814
PWY-6731	0.0	0.0	0.0	0.0	17.24918497886972
PWY-6737	6043.549128039591	6806.325245075259	5856.0980343532565	11725.524935182071	7872.431535658543
PWY-6749	202.3827638946401	610.0816180946074	578.8847161641153	4068.0793853097857	907.3693801238641
PWY-6876	256.49035042225233	75.7594606133218	1.9994955632769937	15.96510781060504	0.679946558212382
PWY-6891	3769.7226103686044	1006.2181003888577	2920.5528577763966	815.0954167253813	1306.0607893939393
PWY-6892	5569.1050209419745	3925.6303180101254	4598.918140473732	5612.178040875364	4557.912209808506
PWY-6895	3814.1607287244674	2561.734384827933	2864.0292539688744	2537.4092604892094	3000.0446628267496
